clean_text
it is what it is 
still holding strong
good laptop
light portable great battery life fast
good laptop bad shipping
a bluetooth issue solved otherwise it s all good so far 
please read before downloading apps installing google chrome
operates very well quick setup with mircrosoft 11 that does all the work 
buen equipo
does not have a backlit keyboard
better with a couple of upgrades but works ok out of the box
excellent laptop highly recommend 
this is not a budget laptop 
easily 5 stars for the range of laptops it s supposed to be in update still 5 stars 
perfect depending on needs
really solid laptop for the price
great laptop but ram is ordered on motherboard
love it a pleasure to use
perfect computer for light workloads 
a laptop so nice we bought it twice
not as advertised
laptop hinge breaks down after 1 year please provide a refund manufacturer 150 repair cost
get memory card junky recharging cord on left side of lap top
not upgradeable 
i don t know 
incorrect information about laptop no backlit keyboard 
meh
mouse pad
no back lit keyboard
junk
falls short of it s capabilities
overall solid pc specs a bit misleading
sometimes doesn t start
the battery life is not as discribed 
i am not satisfied with this product
not sure yet
no tiene teclado retroiluminado como dice en la descripci n 
plastic casing is terrible
having trouble making this a basic gaming computer
good for daily use
i really don t know who this is supposed to be made for
well that was a disappointment
camera stopped functioning in less than 3 months gave up on entire device in 3 years 
support and practices justify the rating
defective out of the box loose power connector trash 
multiple problems about this laptop read this before buying or you ll regret it
do not buy this 
doesn t last
advertised a having a backlit keyboard it has no such thing 
what a piece of crap 
very impressive good quality
excellent 
easy to upgrade when it comes working 
best 300 laptop period get this acer 
great for the price
terrific value
this thing is awesome 
good laptop
good for regular use
bargain
great budget laptop
good laptop except 
worked fine out of the box good value 
amazing quality
good budget laptop for school youtube etc and some light gaming
good for the price
ultra low price for excellent back up pc
beware of warranty 
decent budget laptop
aspires to be more but honestly save your money for something better
5 star if they had a caps on and stronger hinges
solid budget laptop
fair quality low cost pc
great value wonky ram massive bloatware battery indicator glitchy
pros and cons
overall great laptop for the price
basic computer w potential
best budget laptop
for price a good product
nice pick up on prime day star reduced from 5 to 4 
nice but needs some work
great amazon warehouse deal 
good cheap laptop
the charger that comes with is funky
my personal experience has been that it s ok pretty good for the price 
budget friendly fine option
no lighted keyboard
hinge is broken
heavier than expected wanted basic lap top for simple games web news email
great deal 
disappointed in 1 month
ok in pinch but will not last hinges will fail 
slowed down really quick and space bar not moving
lasted one month 
freezes often and touchpad stopped working will update upon review of new device 
unable to activate windows
come in s mode
not worth the money
 1year in parts are failing
poor quality
acer s warranty is crap 
the touchpad is the worst i ve ever used
the parts that work are good but won t connect to internet 
screen dead shortly after 14 months 
cooling problems
it s like a 90 s ford wagon trying to run state of the art equipment
do not buy warning items stop working
cheap interior parts break easily
great except for things that don t work
poor battery quality short life cycle
black skin turns out to be a common problem
think twice before buying 
nightmare trying to get out of windows 10 s mode
new computer with 2 major problems acer response awful
not a functioning computer
almost inaudible update
easily the worst computer i ve ever owned nothing comes close
doesn t power on
awful 
are these seconds 
features
bloatware forced ms accounts nonsense s mode 2 thumbs way down pass find something else 
power cord was cheap and nasty
no slot for adding memory 8gb total is the max cannot upgrade this laptop 
decent hardware especially after upgrading but very flimsy build 
nice visual but no internal memory
ok for the money but 
fast to me laptop with sharp edges and spikes on the bottom 
okay the power cord is short and thinner than i would like 
no teclado retroiluminado
overall good laptop
excellent budget laptop
decent budget laptop
decent for price but beware battery life
a solid 4 star laptop lightweight great screen fair battery easily upgradeable 
i love ryzen 
best value laptop i ve experienced
good but not great you are getting what you paid for 
as long as you don t have unrealistic expectations it s a solid performer
great computer but some keyboard things you should know 
very fast
nice laptop 
great laptop
perfecta para estudio y trabajo no juegos 
wonderful laptop that won t break the bank
great value for the money 
amazing 
cool
bueno bonito y barato
great value laptop with modern specs overall build quality is good but screen could be better 
i hope you know how to repair these 
several defects
second computer same problem
overheating issue
doesn t hold a charge 
many issues
not this one buy any other computer
not reliable
sounds is too low mouse sucks screen is not bright enough
good but flawed 
my 1st aspire
very basic
charger port easily broken
 new laptop has some issues 
would not purchase again
good but defective
sound too low otherwise good quality for price
not great for seniors because s mode maddeningly difficult to remove
left handed computer with poor audio
disappointed
problem with the computer
charger cord doesn t charge laptop
trash
defective aspire 5 webcam extremely bad customer service acer hid and refused replacement
slow pixelated display
don t buy
i finally received it and it is a waste of money 
stopped working 
only lasted a year
update dead in a different way now beware died after 8 months
keyboard isn t backlit
quality laptop
pretty good 
basic use 4 gb ram is not enough makes a good linux vpn share laptop 
great deal for oldies
its an ok laptop with some problems
great deal
acer aspire 3 a315 24p r7vh
great laptop except 
advertised incorrectly
terrible stopped working after 3 days
do not buy
dead after 21 months
acer is very poor quality
it lasted less than a day 
poor craftsmanship on an otherwise decent laptop would not recommend purchasing
budget computer that cannot run games
not friendly
problems right away
horrible quality and customer service
broken in under 90 days 
speaker problems and keyboard mistypes
battery life
total lemon
charger port cord
nothing
do not buy this computer you have been warned
ford not have backlit keyboard
not worth the mone 
used laptop
bang for your buck but two minor issues
perfect
fantastic laptop for the price easily upgradeable 
good laptop poor hinge
perhaps you need a tin can
overall the quality is good 
it can play fortnite and roblox
best laptop purchase
works as it should
awesome machine with terrible uefi options
great value
small but fast 
excelente 
great laptop be careful of a glitch with removing windows s mode have amazon replace if needed 
one of the best values out there full linux support as well upgradeable nvme storage
great for our track meets
great value instructions for ram and hdd ssd upgrade here
great value here 
good value
happy
good starter laptop with some needs
great for its price easily upgraded
does what it states
good for the price with a couple of issues 
great everyday laptop can be upgraded 
great laptop space for additional ram and an hdd works for casual gaming 
really fine except for the sound 
1 year later none of three usb ports work
everything you could ask for and more 
great laptop for a good price
would give it 5 but some issues
good but basic
hinge screen bezel issue otherwise xlnt budget laptop 
lightweight mostly metal body
gaming business binge watching you name it 
great budget laptop on sale
r7vh is upgradable
aspire 3 a315 24p r7vh with 8gb and 1tb
great if you know what you re buying
pretty good 
excellent product overall 
not for work
nice laptop
price
just a head s up
sucky speakers
perfect for web browsing and moderately intensive processor applications
for the price it s worth it
great budget laptop for light use
screen not great for outdoors and bottom facing speakers not the loudest
no cap lock indicator
nice pc except for touchpad
don t try to do too much
en general es lo que dicen pero en especifico y detallado no cumple con algunas expectativas 
ok computer
great until it wasn t 
only has 3gb of ram acer lied beware 
not satisfied
laptop no longer fully closes bottom of screen plastic warped
comes with non genuine windows 10 s
mouse pad is very poor quality very difficult to do fine accurate movements quickly
its cheap because its cheap
this one failed me
mislead to believe had a backlit keyboard 
ok laptop doesn t last long
alright for the most part
no backlit keyboard on the one i got
keyboard not backlit poorly packaged but no damage to laptop 
bummer machine 
shipping bait and switch slow arrival
worst
wifi problems
not a good product for the price
this computer is terrible do not buy 
so not worth it but i guess you get what you paid for 
keep scrolling
try a different one 
no backlite no ryzen no touch
do not buy waste of money great disappointment
laptop ok but comes with a restricted s mode
good laptop
excellent product 
good computer for the price
so much value for 400
very satisfied
my wonderful everyday laptop 
this was a steal on prime day
this is a really great laptop 
works great easy to set up 
great for work
i don t like it avoid if college student
i d give it 5 star if it was not defective
overall good for the price but compatibility issues and poor support from acer 
wait and see
hardware is as it claims 
purchase with caution
it was great until it wasn t 
not happy with this device 
the touchpad continually goes out
slow hot awful speakers
ridiculously slow 
mouse doesn t work after 2 months
awful sound
budget 15 6 laptop but slow 
not a good bang for the buck
very slow
it sucks
spend your money on a better quality laptop
lag when typing in online word
flimsy screen lid
might be defective very disappointed 
crashes won t hold a charge
terrible laptop
laptop stopped working
terribly slow can t even browse the web on it
could you get any slower piece of junk
touchpad cursor freezes intermittently
misleading advertising
laptop screen broken
do not buy this 
got this for school
good for the price but some aggravating quirks 
the laptop hinge on drivers side right froze causing the computer to be unusable after 9 months
backlit keyboard issue 
it s an okay cheapo laptop
decent laptop
you get what you pay for
missing practical capabilities
cheap good price 
decent laptop
basic general use laptop 
works for entry level
okay for price be aware of poor sound quality
worked great until windows updated
laggy
the sound speakers are incredibly low at 100 
disappointed
if non responsive disconnect battery 
functional but the sound is so low
probably possessed jk it just doesn t work right 
it works as i had anticipated not fancy
great laptop for the price
everything i wanted from this laptop i got 
great laptop
good computer for the proce
i like it so much
cheap laptop for classic world of warcraft and team fight tactics 
wonderful laptop
for college kid
works when i need it to 
screen hinges
tech support sucks 
didn t come with an operating system not once but twice 
great computer for the color blind 
okay 3 5 stars 
horrible speakers
you get what you pay for 
honestly not great
not sure about this one
great laptop with decent specs and easy ram upgrade however 
